,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
99,PEDAGANG,5000000.0,DIFFERENT,6000000,1500000.0,41,353000,a) LANCAR
100,LAIN-LAIN,4500000.0,SAME,7600000,1500000.0,41,454000,a) LANCAR
101,PEDAGANG,5500000.0,SAME,8600000,1700000.0,47,613000,a) LANCAR
102,PEDAGANG,3500000.0,DIFFERENT,4300000,,40,362000,a) LANCAR
103,PEDAGANG,3500000.0,DIFFERENT,5600000,1000000.0,43,628000,c) 1-30
104,PEGAWAI SWASTA,4500000.0,SAME,9400000,,26,354000,a) LANCAR
105,JASA,4000000.0,DIFFERENT,6500000,1000000.0,37,627000,a) LANCAR
106,PEGAWAI SWASTA,5600000.0,SAME,12700000,2500000.0,29,748000,a) LANCAR
107,PEGAWAI SWASTA,2800000.0,DIFFERENT,4300000,,42,520000,a) LANCAR
108,PEDAGANG,4500000.0,DIFFERENT,5800000,1100000.0,20,411000,a) LANCAR
109,JASA,4000000.0,DIFFERENT,6000000,1500000.0,41,332000,a) LANCAR
110,PEGAWAI SWASTA,2300000.0,DIFFERENT,3800000,800000.0,24,308000,c) 1-30
111,PEDAGANG,5500000.0,DIFFERENT,8700000,1000000.0,53,520000,a) LANCAR
112,PEDAGANG,4000000.0,DIFFERENT,9400000,1000000.0,50,507000,a) LANCAR
113,PETANI,3500000.0,DIFFERENT,9200000,1200000.0,39,434000,a) LANCAR
114,JASA,4000000.0,SAME,7200000,1500000.0,37,426000,a) LANCAR
115,LAIN-LAIN,5000000.0,SAME,13700000,,51,941000,e) 61-90
116,BURUH/PRT,3500000.0,DIFFERENT,8200000,1000000.0,25,393000,a) LANCAR
117,BURUH/PRT,5000000.0,DIFFERENT,7900000,,55,505000,a) LANCAR
118,PEGAWAI SWASTA,2900000.0,DIFFERENT,7400000,,25,533000,a) LANCAR
119,JASA,4000000.0,DIFFERENT,11200000,1000000.0,54,629000,c) 1-30
120,JASA,4000000.0,DIFFERENT,7700000,11000000.0,35,560000,a) LANCAR
121,PEDAGANG,4000000.0,DIFFERENT,6000000,900000.0,29,515000,a) LANCAR
122,PEDAGANG,3500000.0,SAME,13200000,1000000.0,49,628000,a) LANCAR
123,SOPIR/PENGEMUDI,3500000.0,DIFFERENT,9900000,1000000.0,24,698000,a) LANCAR
124,JASA,3000000.0,DIFFERENT,8600000,,39,629000,a) LANCAR
125,PEDAGANG,3000000.0,DIFFERENT,8200000,,22,308000,a) LANCAR
126,PEGAWAI SWASTA,4000000.0,DIFFERENT,9900000,,25,533000,a) LANCAR
127,PETERNAK,4500000.0,DIFFERENT,17300000,,23,1000000,a) LANCAR
128,JASA,3500000.0,SAME,4400000,900000.0,52,362000,a) LANCAR
129,PEGAWAI NEGERI/BUMN,4000000.0,DIFFERENT,3900000,1400000.0,41,322000,a) LANCAR
130,PEDAGANG,3000000.0,DIFFERENT,12700000,,26,645000,a) LANCAR
131,PEGAWAI SWASTA,4500000.0,DIFFERENT,13900000,,42,316000,a) LANCAR
132,PETANI,4500000.0,DIFFERENT,6900000,1000000.0,36,349000,a) LANCAR
